Crime_type,Crime_address,City,Agency,Crime_date,Crime_time,Crime_address1,Crime_long,Crime_lat
Aggravated assault,300 block South Av,Syracuse,Syracuse,12/25/17,7:45 p.m.,300 block South Av   Syracuse,-74.166842,40.6320336
Burglary,700 block E  Laurel St,Syracuse,Syracuse,12/25/17,2:59 a.m.,700 block E  Laurel St   Syracuse,-122.2597079,37.5049304
Burglary,100 block Pharis St,Syracuse,Syracuse,12/25/17,11:00 a.m.-1:00 p.m.,100 block Pharis St   Syracuse,-98.5722436,29.4287075
Burglary,900 block Butternut St,Syracuse,Syracuse,12/25/17,2:15 p.m.-3:45 p.m.,900 block Butternut St   Syracuse,-76.1435849,43.0630432
Larceny,400 block W  Onondaga St,Syracuse,Syracuse,12/25/17,12:22 p.m.,400 block W  Onondaga St   Syracuse,-79.0443258,43.1744705
Robbery,2100 block E  Fayette St,Syracuse,Syracuse,12/25/17,12:50 p.m.,2100 block E  Fayette St   Syracuse,-94.5751265,39.1439879
Robbery,200 block Wyoming St,Syracuse,Syracuse,12/25/17,4:30 p.m.,200 block Wyoming St   Syracuse,-84.1829838,39.7453847
Aggravated assault,200 block Hall Av,Syracuse,Syracuse,12/24/17,11:20 p.m.,200 block Hall Av   Syracuse,-72.8280793,41.4586811
Burglary,100 block Kenmore Av,Syracuse,Syracuse,12/24/17,1:42 a.m.,100 block Kenmore Av   Syracuse,-78.8216478,42.9579763
Burglary,2600 block Erie Blvd E,Syracuse,Syracuse,12/24/17,11:00 p.m.-5:00 a.m.,2600 block Erie Blvd E   Syracuse,-76.1004392,43.0536174
Burglary,100 block Parkside Av,Syracuse,Syracuse,12/24/17,7:43 p.m.,100 block Parkside Av   Syracuse,-78.8523398,42.9330347
Larceny,300 block Burdick Av,Syracuse,Syracuse,12/24/17,1:15 p.m.,300 block Burdick Av   Syracuse,-76.1550343,43.0771157
Larceny,100 block Milford Ct,Syracuse,Syracuse,12/24/17,8:39 p.m.,100 block Milford Ct   Syracuse,NA,NA
Robbery,900 block N  Salina St,Syracuse,Syracuse,12/24/17,6:53 p.m.,900 block N  Salina St   Syracuse,-75.8980896,43.9680485
Vehicle theft,100 block Green St,Syracuse,Syracuse,12/24/17,8:04 p.m.,100 block Green St   Syracuse,-71.2558362,42.0311758
Vehicle theft,200 block Fenway Dr,Syracuse,Syracuse,12/24/17,9:46 p.m.,200 block Fenway Dr   Syracuse,-76.1107128,43.04809
Aggravated assault,300 block Bruce St,Syracuse,Syracuse,12/23/17,1:29 a.m.,300 block Bruce St   Syracuse,NA,NA
Aggravated assault,500 block Helen St,Syracuse,Syracuse,12/23/17,1:46 a.m.,500 block Helen St   Syracuse,-83.3171694,42.3142856
Aggravated assault,1800 block E  Fayette St,Syracuse,Syracuse,12/23/17,5:16 p.m.,1800 block E  Fayette St   Syracuse,-75.2973987,40.082885
Burglary,100 block Titus Al,Syracuse,Syracuse,12/23/17,5:00 a.m.-6:00 a.m.,100 block Titus Al   Syracuse,-86.1908733,32.5609307
Burglary,300 block Montgomery St,Syracuse,Syracuse,12/23/17,7:56 a.m.,300 block Montgomery St   Syracuse,-122.402219,37.7924422
Larceny,3200 block James St,Syracuse,Syracuse,12/23/17,8:00 a.m.-12:56 a.m.,3200 block James St   Syracuse,-76.1025644,43.0690354
Larceny,300 block N  Clinton St,Syracuse,Syracuse,12/23/17,11:45 p.m.,300 block N  Clinton St   Syracuse,-74.0348387,40.740946
Robbery,800 block James St,Syracuse,Syracuse,12/23/17,9:46 a.m.,800 block James St   Syracuse,-76.1403978,43.0563387
Robbery,600 block S  Geddes St,Syracuse,Syracuse,12/23/17,1:00 p.m.,600 block S  Geddes St   Syracuse,-75.5778052,39.743401
Robbery,400 block Gifford St,Syracuse,Syracuse,12/23/17,7:00 p.m.,400 block Gifford St   Syracuse,-76.160752,43.04351
Vehicle theft,1600 block Hawley Av,Syracuse,Syracuse,12/23/17,9:00 p.m.-10:15 p.m.,1600 block Hawley Av   Syracuse,-76.122008,43.055625
Aggravated assault,1000 block W  Onondaga St,Syracuse,Syracuse,12/22/17,12:38 a.m.,1000 block W  Onondaga St   Syracuse,-76.1676513,43.0344224
Aggravated assault,600 block Teall Av,Syracuse,Syracuse,12/22/17,2:51 a.m.,600 block Teall Av   Syracuse,-76.12166,43.055815
Aggravated assault,600 block Teall Av,Syracuse,Syracuse,12/22/17,2:51 a.m.,600 block Teall Av   Syracuse,NA,NA
Burglary,200 block Robert Dr,Syracuse,Syracuse,12/22/17,11:00 p.m.-9:30 a.m.,200 block Robert Dr   Syracuse,-89.0185172,40.5070917
Larceny,100 block Polk St,Syracuse,Syracuse,12/22/17,11:00 p.m.-8:45 a.m.,100 block Polk St   Syracuse,-122.4177977,37.7767168
Larceny,100 block Nichols Av,Syracuse,Syracuse,12/22/17,10:00 p.m.-9:00 a.m.,100 block Nichols Av   Syracuse,-87.912262,30.5177341
Aggravated assault,600 block E  Division St,Syracuse,Syracuse,12/21/17,11:58 a.m.,600 block E  Division St   Syracuse,-86.7771049,36.1499612
Aggravated assault,600 block Oak St,Syracuse,Syracuse,12/21/17,3:45 p.m.,600 block Oak St   Syracuse,NA,NA
Burglary,800 block Pond St,Syracuse,Syracuse,12/21/17,4:00 p.m.-9:30 a.m.,800 block Pond St   Syracuse,-71.4301828,42.1179053
Burglary,100 block Rosemont Dr,Syracuse,Syracuse,12/21/17,6:00 p.m.-6:30 a.m.,100 block Rosemont Dr   Syracuse,-78.7972474,42.9831728
Burglary,400 block Burns Av,Syracuse,Syracuse,12/21/17,6:45 p.m.,400 block Burns Av   Syracuse,-76.0915145,43.0629576
Burglary,100 block Linwill Ter,Syracuse,Syracuse,12/21/17,7:30 a.m.-10:30 a.m.,100 block Linwill Ter   Syracuse,-76.1159311,43.0721998
Burglary,200 block S  Beech St,Syracuse,Syracuse,12/21/17,11:48 p.m.,200 block S  Beech St   Syracuse,-71.4554127,42.9799619
Larceny,100 block W  Ostrander Av,Syracuse,Syracuse,12/21/17,1:00 a.m.-10:40 a.m.,100 block W  Ostrander Av   Syracuse,NA,NA
Larceny,2500 block Erie Blvd E,Syracuse,Syracuse,12/21/17,10:33 a.m.,2500 block Erie Blvd E   Syracuse,-76.1035502,43.0532582
Larceny,100 block New St,Syracuse,Syracuse,12/21/17,9:00 a.m.-10:40 a.m.,100 block New St   Syracuse,-75.6074151,39.9563733
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/21/17,11:39 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,900 block Darlington Rd,Syracuse,Syracuse,12/21/17,5:35 a.m.-8:35 a.m.,900 block Darlington Rd   Syracuse,-80.3350792,40.7494297
Robbery,900 block James St,Syracuse,Syracuse,12/21/17,1:37 a.m.,900 block James St   Syracuse,-89.2820602,31.3151523
Robbery,100 block Depalma Av,Syracuse,Syracuse,12/21/17,7:38 p.m.,100 block Depalma Av   Syracuse,-76.18257,43.038099
Aggravated assault,1 block Destiny Usa Dr,Syracuse,Syracuse,12/20/17,7:50 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Aggravated assault,100 block Highland Av,Syracuse,Syracuse,12/20/17,11:56 p.m.,100 block Highland Av   Syracuse,-118.3381692,34.0737719
Burglary,100 block Steuben St,Syracuse,Syracuse,12/20/17,12:42 a.m.,100 block Steuben St   Syracuse,-73.963558,40.694444
Burglary,100 block Colby Av,Syracuse,Syracuse,12/20/17,12:53 a.m.,100 block Colby Av   Syracuse,-122.2089321,47.9789067
Burglary,700 block S  Geddes St,Syracuse,Syracuse,12/20/17,12:29 p.m.,700 block S  Geddes St   Syracuse,-75.5788226,39.7424105
Burglary,300 block Hillsdale Av,Syracuse,Syracuse,12/20/17,1:53 p.m.-2:53 p.m.,300 block Hillsdale Av   Syracuse,-74.0350127,41.0031575
Burglary,100 block East Av,Syracuse,Syracuse,12/20/17,6:40 p.m.-7:50 p.m.,100 block East Av   Syracuse,-77.6016748,43.1569933
Burglary,300 block Broad St,Syracuse,Syracuse,12/20/17,8:52 p.m.,300 block Broad St   Syracuse,-74.0645183,40.3418178
Burglary,300 block Furman St,Syracuse,Syracuse,12/20/17,2:20 p.m.-11:30 p.m.,300 block Furman St   Syracuse,NA,NA
Burglary,200 block Fenway Dr,Syracuse,Syracuse,12/20/17,3:00 p.m.,200 block Fenway Dr   Syracuse,NA,NA
Larceny,500 block S  State St,Syracuse,Syracuse,12/20/17,6:16 a.m.,500 block S  State St   Syracuse,-111.7250832,40.3469203
Larceny,500 block State Fair Blvd,Syracuse,Syracuse,12/20/17,1:45 p.m.,500 block State Fair Blvd   Syracuse,-76.195817,43.0646946
Larceny,1600 block Hawley Av,Syracuse,Syracuse,12/20/17,8:00 p.m.-7:00 a.m.,1600 block Hawley Av   Syracuse,-76.122008,43.055625
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/20/17,9:27 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,200 block Robert Dr,Syracuse,Syracuse,12/20/17,9:53 p.m.,200 block Robert Dr   Syracuse,NA,NA
Larceny,100 block Broad St,Syracuse,Syracuse,12/20/17,9:15 a.m.,100 block Broad St   Syracuse,-71.3871145,41.8801469
Larceny,100 block Polk St,Syracuse,Syracuse,12/20/17,2:30 p.m.-9:30 p.m.,100 block Polk St   Syracuse,-122.4177977,37.7767168
Larceny,300 block Allen St,Syracuse,Syracuse,12/20/17,1:20 a.m.-1:25 a.m.,300 block Allen St   Syracuse,-72.4595779,42.0738224
Larceny,800 block James St,Syracuse,Syracuse,12/20/17,3:55 p.m.-5:20 p.m.,800 block James St   Syracuse,NA,NA
Vehicle theft,100 block Edtim Rd,Syracuse,Syracuse,12/20/17,8:00 a.m.-8:10 a.m.,100 block Edtim Rd   Syracuse,NA,NA
